timestamp,elapsed_seconds,distance_m,speed_mps,altitude_m,heart_rate,power,cadence,latitude,longitude
2026-03-28T00:32:13+00:00,0.0,0.0,2.536,216.4,105,0,0,31.100061060860753,121.02728543803096
2026-03-28T00:32:14+00:00,1.0,1.91,2.537,294.8,105,0,0,31.100090481340885,121.02728351019323
2026-03-28T00:32:15+00:00,2.0,3.92,2.537,406.8,105,0,0,31.10010934062302,121.02728116326034
2026-03-28T00:32:16+00:00,3.0,6.67,2.537,494.6,104,0,0,31.100132977589965,121.02727512829006
2026-03-28T00:32:17+00:00,4.0,9.57,2.537,582.2,104,86,33,31.10015904530883,121.0272694285959
2026-03-28T00:32:18+00:00,5.0,12.49,2.537,649.4,103,130,33,31.100187124684453,121.02727412246168
2026-03-28T00:32:19+00:00,6.0,16.23,2.537,724.0,102,127,35,31.10021931119263,121.0272868629545
2026-03-28T00:32:20+00:00,7.0,19.77,2.537,800.6,102,127,44,31.100247390568256,121.02731100283563
2026-03-28T00:32:21+00:00,8.0,24.16,2.536,920.0,103,130,44,31.100270440801978,121.02734997868538
2026-03-28T00:32:22+00:00,9.0,29.13,2.536,1002.2,103,177,48,31.10028075054288,121.02740001864731
2026-03-28T00:32:23+00:00,10.0,34.21,2.535,1093.6,103,185,55,31.100281924009323,121.02745424956083
2026-03-28T00:32:24+00:00,11.0,39.8,2.534,1155.2,103,174,58,31.100282007828355,121.02751317434013
2026-03-28T00:32:25+00:00,12.0,45.62,2.534,1185.0,103,159,66,31.10028225928545,121.02757469750941
2026-03-28T00:32:26+00:00,13.0,51.87,2.533,1237.2,104,153,68,31.100283600389957,121.02764024399221
2026-03-28T00:32:27+00:00,14.0,58.43,2.533,1270.8,104,153,69,31.10028712078929,121.02770805358887
2026-03-28T00:32:28+00:00,15.0,64.94,2.533,1302.6,104,152,70,31.10029248520732,121.02777561172843
2026-03-28T00:32:29+00:00,16.0,71.39,2.532,1336.2,104,149,74,31.100299526005983,121.02784300222993
2026-03-28T00:32:30+00:00,17.0,78.06,2.532,1371.6,105,142,73,31.100306063890457,121.02791332639754
2026-03-28T00:32:31+00:00,18.0,85.12,2.532,1384.6,105,149,74,31.100313272327185,121.02798658423126
2026-03-28T00:32:32+00:00,19.0,92.18,2.531,1410.8,105,148,78,31.100321067497134,121.02806034497917
2026-03-28T00:32:33+00:00,20.0,99.32,2.531,1420.2,106,142,80,31.10032961703837,121.02813486009836
2026-03-28T00:32:34+00:00,21.0,106.74,2.53,1433.2,106,135,85,31.100338082760572,121.02821163833141
2026-03-28T00:32:35+00:00,22.0,114.18,2.529,1453.8,106,138,76,31.100343950092793,121.02828925475478
2026-03-28T00:32:36+00:00,23.0,121.62,2.529,1453.8,107,120,81,31.100346632301807,121.02836653590202
2026-03-28T00:32:37+00:00,24.0,129.02,2.529,1466.8,107,111,83,31.100347638130188,121.02844314649701
2026-03-28T00:32:38+00:00,25.0,136.15,2.528,1472.4,108,114,79,31.100351829081774,121.02851849980652
2026-03-28T00:32:39+00:00,26.0,143.51,2.528,1474.2,109,106,82,31.100355936214328,121.02859569713473
2026-03-28T00:32:40+00:00,27.0,150.87,2.528,1468.6,109,105,80,31.10035995952785,121.02867255918682
2026-03-28T00:32:41+00:00,28.0,158.01,2.527,1455.6,110,105,80,31.100364485755563,121.02874841541052
2026-03-28T00:32:42+00:00,29.0,165.49,2.527,1425.8,111,105,80,31.10037663951516,121.02882460691035
2026-03-28T00:32:43+00:00,30.0,172.67,2.526,1397.8,111,21,0,31.10038929618895,121.02889778092504
2026-03-28T00:32:44+00:00,31.0,179.36,2.526,1367.8,112,0,0,31.100398935377598,121.02896785363555
2026-03-28T00:32:45+00:00,32.0,186.11,2.526,1338.0,113,0,0,31.100408071652055,121.02903842926025
2026-03-28T00:32:46+00:00,33.0,192.84,2.525,1308.2,115,0,0,31.100419806316495,121.02910799905658
2026-03-28T00:32:47+00:00,34.0,199.47,2.525,1263.4,116,0,0,31.100432546809316,121.02917513810098
2026-03-28T00:32:48+00:00,35.0,205.85,2.524,1239.2,116,0,0,31.100443275645375,121.02924068458378
2026-03-28T00:32:49+00:00,36.0,212.09,2.524,1201.8,116,0,0,31.100455010309815,121.02930396795273
2026-03-28T00:32:50+00:00,37.0,217.96,2.523,1175.6,116,0,0,31.100462302565575,121.02936557494104
2026-03-28T00:32:51+00:00,38.0,223.89,2.523,1144.0,116,0,0,31.10047143884003,121.02942760102451
2026-03-28T00:32:52+00:00,39.0,229.86,2.523,1132.8,116,0,0,31.100492058321834,121.02948669344187
2026-03-28T00:32:53+00:00,40.0,235.59,2.523,1104.8,115,0,0,31.100520975887775,121.02953899651766
2026-03-28T00:32:54+00:00,41.0,241.33,2.522,1091.6,114,0,0,31.10056313686073,121.02957529015839
2026-03-28T00:32:55+00:00,42.0,246.93,2.522,1104.8,111,40,61,31.10061259008944,121.02959255687892
2026-03-28T00:32:56+00:00,43.0,252.84,2.522,1144.0,111,83,61,31.10066581517458,121.02959465235472
2026-03-28T00:32:57+00:00,44.0,258.5,2.522,1151.4,108,166,65,31.100717280060053,121.02958953939378
2026-03-28T00:32:58+00:00,45.0,264.51,2.522,1173.8,104,165,64,31.10077092424035,121.02958400733769
2026-03-28T00:32:59+00:00,46.0,270.25,2.522,1142.0,102,146,64,31.10082171857357,121.02957629598677
2026-03-28T00:33:00+00:00,47.0,275.76,2.521,1147.6,102,0,0,31.10087209381163,121.02956900373101
2026-03-28T00:33:01+00:00,48.0,281.21,2.521,1091.6,101,0,0,31.100922049954534,121.02957042865455
2026-03-28T00:33:02+00:00,49.0,286.87,2.52,1071.2,101,0,0,31.10097326338291,121.02956925518811
2026-03-28T00:33:03+00:00,50.0,292.45,2.52,1030.2,101,0,0,31.10102296806872,121.02956573478878
2026-03-28T00:33:04+00:00,51.0,297.78,2.52,992.8,100,0,0,31.10106999054551,121.02956489659846
2026-03-28T00:33:05+00:00,52.0,302.62,2.52,963.0,100,0,0,31.101113660261035,121.02956414222717
2026-03-28T00:33:06+00:00,53.0,307.29,2.52,916.2,100,0,0,31.101155653595924,121.0295623820275
2026-03-28T00:33:07+00:00,54.0,311.79,2.52,893.8,100,0,0,31.101196389645338,121.0295607894659
2026-03-28T00:33:08+00:00,55.0,316.32,2.52,864.0,100,0,0,31.101235952228308,121.02955752052367
2026-03-28T00:33:09+00:00,56.0,320.19,2.52,821.2,101,0,0,31.101270653307438,121.02955542504787
2026-03-28T00:33:10+00:00,57.0,323.85,2.52,800.6,102,0,0,31.101304767653346,121.0295576043427
2026-03-28T00:33:11+00:00,58.0,327.67,2.52,802.4,102,0,0,31.101340893656015,121.02955525740981
2026-03-28T00:33:12+00:00,59.0,332.0,2.521,793.2,103,0,0,31.10137928277254,121.02955324575305
2026-03-28T00:33:13+00:00,60.0,335.88,2.52,772.6,105,0,0,31.10141532495618,121.02955400012434
2026-03-28T00:33:14+00:00,61.0,340.03,2.521,755.8,105,0,0,31.10145304352045,121.02955425158143
2026-03-28T00:33:15+00:00,62.0,343.44,2.521,586.0,105,0,0,31.10148338600993,121.02954947389662
2026-03-28T00:33:16+00:00,63.0,346.37,2.521,444.2,105,0,0,31.101508112624288,121.02954268455505
2026-03-28T00:33:17+00:00,64.0,348.75,2.521,388.2,105,0,0,31.101529402658343,121.02953874506056
2026-03-28T00:33:18+00:00,65.0,350.56,2.522,252.0,105,0,0,31.10154348425567,121.02953908033669
2026-03-28T00:33:19+00:00,66.0,351.44,2.522,222.0,105,0,0,31.10155270434916,121.02953639812768
2026-03-28T00:33:20+00:00,67.0,351.88,2.522,44.8,105,0,0,31.10155421309173,121.02953220717609
2026-03-28T00:33:21+00:00,68.0,351.88,2.522,48.6,106,0,0,31.101529821753502,121.02952223271132
2026-03-28T00:33:22+00:00,69.0,351.88,2.52,350.8,98,,0,31.10158053226769,121.02952558547258
2026-03-28T00:33:23+00:00,70.0,355.33,2.52,427.4,98,0,0,31.101611126214266,121.02952064014971
2026-03-28T00:33:24+00:00,71.0,358.13,2.521,375.0,98,0,0,31.101636020466685,121.029516113922
2026-03-28T00:33:25+00:00,72.0,360.46,2.521,294.8,98,0,0,31.101655131205916,121.02950597181916
2026-03-28T00:33:26+00:00,73.0,362.74,2.522,265.0,97,0,0,31.101674577221274,121.02949725463986
2026-03-28T00:33:27+00:00,74.0,364.99,2.522,257.6,97,0,0,31.101685306057334,121.02948040701449
2026-03-28T00:33:28+00:00,75.0,366.28,2.522,289.2,97,0,0,31.101695699617267,121.02946976199746
2026-03-28T00:33:29+00:00,76.0,368.07,2.523,336.0,98,0,0,31.101713804528117,121.0294680017978
2026-03-28T00:33:30+00:00,77.0,370.73,2.523,421.8,99,0,0,31.10173643566668,121.02947428822517
2026-03-28T00:33:31+00:00,78.0,373.33,2.523,462.8,100,82,25,31.101759234443307,121.02947755716741
2026-03-28T00:33:32+00:00,79.0,376.15,2.523,531.8,102,123,25,31.101783961057663,121.02947705425322
2026-03-28T00:33:33+00:00,80.0,378.8,2.523,582.2,102,130,30,31.101808603852987,121.02947294712067
2026-03-28T00:33:34+00:00,81.0,382.15,2.523,666.2,103,138,30,31.101836431771517,121.02945702150464
2026-03-28T00:33:35+00:00,82.0,385.92,2.523,757.6,103,136,35,31.101862331852317,121.02942961268127
2026-03-28T00:33:36+00:00,83.0,390.17,2.524,819.2,104,125,45,31.101877754554152,121.02939038537443
2026-03-28T00:33:37+00:00,84.0,394.01,2.524,882.6,104,127,50,31.101877503097057,121.02934923022985
2026-03-28T00:33:38+00:00,85.0,398.5,2.525,972.2,105,152,50,31.101870462298393,121.02930170483887
2026-03-28T00:33:39+00:00,86.0,403.7,2.525,1032.0,105,179,51,31.101864762604237,121.02924789302051
2026-03-28T00:33:40+00:00,87.0,409.04,2.525,1084.2,106,185,57,31.101859733462334,121.02919257245958
2026-03-28T00:33:41+00:00,88.0,414.42,2.525,1114.0,106,188,59,31.10185420140624,121.02913641370833
2026-03-28T00:33:42+00:00,89.0,420.23,2.525,1160.8,106,183,63,31.101850848644972,121.02907505817711
2026-03-28T00:33:43+00:00,90.0,426.49,2.526,1198.0,107,186,64,31.101849675178528,121.02901018224657
2026-03-28T00:33:44+00:00,91.0,432.71,2.526,1231.6,107,184,68,31.101846657693386,121.02894589304924
2026-03-28T00:33:45+00:00,92.0,438.74,2.526,1265.2,109,179,66,31.101842131465673,121.0288821067661
2026-03-28T00:33:46+00:00,93.0,445.05,2.526,1287.6,111,171,73,31.101837689056993,121.02881572209299
2026-03-28T00:33:47+00:00,94.0,451.6,2.526,1308.2,111,156,70,31.1018355935812,121.0287462361157
2026-03-28T00:33:48+00:00,95.0,458.46,2.526,1315.6,112,142,74,31.101832408457994,121.02867465466261
2026-03-28T00:33:49+00:00,96.0,465.14,2.526,1330.6,112,120,72,31.101829642429948,121.02860416285694
2026-03-28T00:33:50+00:00,97.0,472.06,2.526,1315.6,113,102,73,31.101823272183537,121.0285332519561
2026-03-28T00:33:51+00:00,98.0,478.63,2.526,1310.0,113,85,72,31.101817907765508,121.02846510708332
2026-03-28T00:33:52+00:00,99.0,485.15,2.526,1304.4,114,77,72,31.101812291890383,121.02839729748666
2026-03-28T00:33:53+00:00,100.0,491.62,2.526,1308.2,115,83,70,31.10180675983429,121.02832932025194
2026-03-28T00:33:54+00:00,101.0,498.45,2.526,1308.2,115,76,73,31.101802485063672,121.02825966663659
2026-03-28T00:33:55+00:00,102.0,504.63,2.527,1282.0,116,77,73,31.101803742349148,121.0281949583441
2026-03-28T00:33:56+00:00,103.0,510.96,2.527,1298.8,116,81,74,31.101807849481702,121.02812899276614
2026-03-28T00:33:57+00:00,104.0,517.18,2.527,1310.0,117,105,70,31.101804915815592,121.0280636139214
2026-03-28T00:33:58+00:00,105.0,523.47,2.527,1325.0,117,122,74,31.10179997049272,121.02799722924829
2026-03-28T00:33:59+00:00,106.0,529.93,2.527,1358.6,118,120,75,31.101797288283706,121.0279274918139
2026-03-28T00:34:00+00:00,107.0,536.89,2.527,1326.8,120,93,76,31.101790834218264,121.02785582654178
2026-03-28T00:34:01+00:00,108.0,543.61,2.527,1330.6,123,87,74,31.101785469800234,121.02778541855514
2026-03-28T00:34:02+00:00,109.0,550.45,2.527,1325.0,126,83,73,31.101779686287045,121.0277147591114
2026-03-28T00:34:03+00:00,110.0,556.96,2.527,1325.0,127,94,75,31.101773818954825,121.02764594368637
2026-03-28T00:34:04+00:00,111.0,563.64,2.527,1317.4,128,101,74,31.101768035441637,121.02757561951876
2026-03-28T00:34:05+00:00,112.0,570.46,2.527,1325.0,129,101,74,31.101766107603908,121.02750319987535
2026-03-28T00:34:06+00:00,113.0,577.8,2.527,1343.6,129,137,76,31.101760659366846,121.02742767892778
2026-03-28T00:34:07+00:00,114.0,585.07,2.527,1379.0,130,151,76,31.101757306605577,121.02735232561827
2026-03-28T00:34:08+00:00,115.0,592.01,2.527,1371.6,130,145,75,31.101753283292055,121.0272799897939
2026-03-28T00:34:09+00:00,116.0,598.89,2.527,1360.4,131,143,76,31.101748421788216,121.02720874361694
2026-03-28T00:34:10+00:00,117.0,605.64,2.527,1371.6,131,137,75,31.101742135360837,121.0271383356303
2026-03-28T00:34:11+00:00,118.0,612.14,2.527,1358.6,131,138,76,31.101737273856997,121.02706952020526
2026-03-28T00:34:12+00:00,119.0,619.03,2.528,1386.6,131,139,79,31.101732831448317,121.02699726819992
