elapsed_seconds,distance_m,speed_mps
0.0,0.0,2.536
1.0,1.91,2.537
2.0,3.92,2.537
3.0,6.67,2.537
4.0,9.57,2.537
5.0,12.49,2.537
6.0,16.23,2.537
7.0,19.77,2.537
8.0,24.16,2.536
9.0,29.13,2.536
10.0,34.21,2.535
11.0,39.8,2.534
12.0,45.62,2.534
13.0,51.87,2.533
14.0,58.43,2.533
15.0,64.94,2.533
16.0,71.39,2.532
17.0,78.06,2.532
18.0,85.12,2.532
19.0,92.18,2.531
20.0,99.32,2.531
21.0,106.74,2.53
22.0,114.18,2.529
23.0,121.62,2.529
24.0,129.02,2.529
25.0,136.15,2.528
26.0,143.51,2.528
27.0,150.87,2.528
28.0,158.01,2.527
29.0,165.49,2.527
30.0,172.67,2.526
31.0,179.36,2.526
32.0,186.11,2.526
33.0,192.84,2.525
34.0,199.47,2.525
35.0,205.85,2.524
36.0,212.09,2.524
37.0,217.96,2.523
38.0,223.89,2.523
39.0,229.86,2.523
40.0,235.59,2.523
41.0,241.33,2.522
42.0,246.93,2.522
43.0,252.84,2.522
44.0,258.5,2.522
45.0,264.51,2.522
46.0,270.25,2.522
47.0,275.76,2.521
48.0,281.21,2.521
49.0,286.87,2.52
50.0,292.45,2.52
51.0,297.78,2.52
52.0,302.62,2.52
53.0,307.29,2.52
54.0,311.79,2.52
55.0,316.32,2.52
56.0,320.19,2.52
57.0,323.85,2.52
58.0,327.67,2.52
59.0,332.0,2.521
60.0,335.88,2.52
61.0,340.03,2.521
62.0,343.44,2.521
63.0,346.37,2.521
64.0,348.75,2.521
65.0,350.56,2.522
66.0,351.44,2.522
67.0,351.88,2.522
68.0,351.88,2.522
73.0,351.88,2.52
74.0,355.33,2.52
75.0,358.13,2.521
76.0,360.46,2.521
77.0,362.74,2.522
78.0,364.99,2.522
79.0,366.28,2.522
80.0,368.07,2.523
81.0,370.73,2.523
82.0,373.33,2.523
83.0,376.15,2.523
84.0,378.8,2.523
85.0,382.15,2.523
86.0,385.92,2.523
87.0,390.17,2.524
88.0,394.01,2.524
89.0,398.5,2.525
90.0,403.7,2.525
91.0,409.04,2.525
92.0,414.42,2.525
93.0,420.23,2.525
94.0,426.49,2.526
95.0,432.71,2.526
96.0,438.74,2.526
97.0,445.05,2.526
98.0,451.6,2.526
99.0,458.46,2.526
100.0,465.14,2.526
101.0,472.06,2.526
102.0,478.63,2.526
103.0,485.15,2.526
104.0,491.62,2.526
105.0,498.45,2.526
106.0,504.63,2.527
107.0,510.96,2.527
108.0,517.18,2.527
109.0,523.47,2.527
110.0,529.93,2.527
111.0,536.89,2.527
112.0,543.61,2.527
113.0,550.45,2.527
114.0,556.96,2.527
115.0,563.64,2.527
116.0,570.46,2.527
117.0,577.8,2.527
118.0,585.07,2.527
119.0,592.01,2.527
120.0,598.89,2.527
121.0,605.64,2.527
122.0,612.14,2.527
123.0,619.03,2.528
124.0,626.11,2.528
125.0,633.51,2.528
126.0,640.69,2.528
127.0,647.94,2.528
128.0,654.81,2.528
129.0,661.83,2.528
130.0,669.19,2.528
131.0,676.55,2.528
132.0,683.96,2.528
133.0,691.6,2.528
134.0,699.48,2.527
135.0,707.49,2.527
136.0,715.33,2.527
137.0,723.65,2.527
138.0,731.73,2.527
139.0,739.52,2.526
140.0,747.32,2.526
141.0,755.7,2.526
142.0,764.07,2.526
143.0,771.82,2.526
144.0,779.69,2.526
145.0,787.56,2.526
146.0,795.91,2.526
147.0,804.07,2.526
148.0,811.89,2.526
149.0,819.46,2.526
150.0,826.93,2.526
151.0,834.3,2.526
152.0,841.38,2.526
153.0,848.57,2.526
154.0,855.43,2.526
155.0,861.94,2.526
156.0,868.98,2.526
157.0,876.32,2.526
158.0,884.17,2.526
159.0,891.8,2.526
160.0,899.57,2.526
161.0,907.64,2.527
162.0,915.51,2.527
163.0,923.4,2.527
164.0,931.69,2.526
165.0,939.72,2.526
166.0,947.51,2.526
167.0,955.59,2.526
168.0,964.07,2.526
169.0,971.96,2.526
170.0,980.2,2.526
171.0,988.26,2.526
172.0,996.33,2.526
173.0,1003.68,2.526
174.0,1012.18,2.526
175.0,1020.47,2.526
176.0,1028.82,2.527
177.0,1036.7,2.527
178.0,1045.1,2.527
179.0,1053.12,2.527
180.0,1060.96,2.527
181.0,1069.45,2.528
182.0,1077.64,2.528
183.0,1085.72,2.528
184.0,1094.05,2.528
185.0,1102.43,2.529
186.0,1110.09,2.529
187.0,1118.3,2.529
188.0,1126.34,2.53
189.0,1134.22,2.53
190.0,1141.87,2.53
191.0,1149.82,2.53
192.0,1157.17,2.531
193.0,1164.63,2.531
194.0,1171.74,2.532
195.0,1179.08,2.532
196.0,1186.55,2.533
197.0,1193.92,2.533
198.0,1201.16,2.534
199.0,1208.5,2.535
200.0,1215.86,2.535
201.0,1223.3,2.536
202.0,1230.69,2.536
203.0,1237.77,2.537
204.0,1244.52,2.538
205.0,1251.46,2.538
206.0,1258.18,2.539
207.0,1265.19,2.539
208.0,1272.15,2.54
209.0,1279.5,2.54
210.0,1286.83,2.541
211.0,1294.33,2.541
212.0,1301.66,2.541
213.0,1308.88,2.541
214.0,1316.41,2.541
215.0,1324.02,2.541
216.0,1331.66,2.541
217.0,1339.0,2.541
218.0,1346.65,2.541
219.0,1354.5,2.541
220.0,1362.3,2.54
221.0,1370.47,2.54
222.0,1378.49,2.54
223.0,1386.54,2.539
224.0,1394.89,2.539
225.0,1403.2,2.538
226.0,1411.33,2.538
227.0,1419.54,2.537
228.0,1427.36,2.537
229.0,1435.52,2.536
230.0,1444.0,2.535
231.0,1452.17,2.535
232.0,1460.25,2.534
233.0,1468.78,2.533
234.0,1477.09,2.533
235.0,1485.38,2.533
236.0,1494.2,2.532
237.0,1502.99,2.531
238.0,1511.49,2.531
239.0,1520.19,2.53
240.0,1529.17,2.53
241.0,1538.5,2.529
242.0,1547.51,2.528
243.0,1556.44,2.528
244.0,1565.73,2.527
245.0,1574.73,2.527
246.0,1583.57,2.527
247.0,1592.45,2.527
248.0,1601.16,2.527
249.0,1609.55,2.527
250.0,1617.84,2.527
251.0,1626.03,2.527
252.0,1634.28,2.527
253.0,1642.15,2.527
254.0,1650.09,2.526
255.0,1658.02,2.526
256.0,1665.75,2.526
257.0,1673.92,2.526
258.0,1682.09,2.525
259.0,1690.24,2.525
260.0,1697.97,2.526
261.0,1705.91,2.526
262.0,1713.79,2.526
263.0,1722.04,2.526
264.0,1729.89,2.526
265.0,1738.19,2.526
266.0,1746.39,2.527
267.0,1754.51,2.527
268.0,1762.21,2.527
269.0,1769.9,2.526
270.0,1777.01,2.527
271.0,1783.06,2.527
272.0,1787.86,2.527
273.0,1791.25,2.527
274.0,1795.72,2.527
275.0,1800.44,2.527
276.0,1805.2,2.527
277.0,1810.46,2.527
278.0,1815.73,2.527
279.0,1821.42,2.527
280.0,1827.09,2.527
281.0,1833.34,2.527
282.0,1839.8,2.527
283.0,1846.07,2.527
284.0,1852.28,2.527
